"","SISID","Station.ID","Count.Location","Quadrant","From.Intersection","To.Intersection","Day","Date","Temperature","Weather","Start.Time","End.Time","Duration","Travel.Lanes","Parking","Speed.limit","Bike.Lanes","On.Sidewalk","On.Path.Trail","With.Helmet","No.Helmet","Male","Female","Peak.Hour","CaBi.Bikes","Total"
"1",10000000,34,"11th St Brg","SE",NA,NA,"Friday","5/6/2005",50,"Cloudy & Damp","8:30","9:30",1,NA,0,NA,"No",3,NA,0,3,3,0,3,NA,3
"2",10000000,34,"11th St Brg","SE",NA,NA,"Monday","10/9/2006",75,"Sunny, Hot","16:30","18:30",2,6,0,40,"No",4,0,0,4,4,0,4,NA,4
"3",10000000,34,"11th St Brg","SE",NA,NA,"Tuesday","5/6/2008",0,"Clear","6:00","10:00",4,0,0,NA,"0",12,0,8,4,12,0,6,NA,12
"4",10000000,34,"11th St Brg","SE",NA,NA,"Tuesday","5/6/2008",0,"Clear","15:00","19:00",4,0,0,NA,"No",17,0,8,9,17,0,7,NA,17
"5",10000000,34,"11th St Brg","SE",NA,NA,"Thursday","5/21/2009",0,"Clear","6:00","10:00",4,0,NA,NA,"No",22,0,13,9,19,3,12,NA,22
"6",10000000,34,"11th St Brg","SE",NA,NA,"Thursday","5/21/2009",0,"Clear","15:00","19:00",4,0,NA,NA,"No",20,0,17,3,17,3,8,NA,20
"7",10000000,34,"11th St Brg","SE",NA,NA,"Wednesday","6/13/2012",0,NA,"15:00","19:00",4,2,0,NA,"No",15,0,8,7,13,2,6,0,15
"8",10000000,34,"11th St Brg","SE",NA,NA,"Wednesday","6/13/2012",0,NA,"6:00","10:00",4,2,0,NA,"No",13,0,5,8,12,1,6,0,13
"9",10000000,34,"11th St Brg","SE",NA,NA,"Tuesday","7/8/2014",NA,NA,"15:00","19:00",4,4,0,30,"No",53,0,40,26,56,10,27,NA,66
"10",10000000,34,"11th St Brg","SE",NA,NA,"Tuesday","7/8/2014",NA,NA,"6:00","10:00",4,4,0,30,"No",27,0,35,18,41,12,20,NA,53
"11",10000000,34,"11th St Brg","SE",NA,NA,"Tuesday","7/7/2015",0,NA,"6:00","10:00",4,2,0,NA,"0",34,0,26,20,39,7,23,0,46
"12",10000000,34,"11th St Brg","SE",NA,NA,"Tuesday","7/7/2015",0,NA,"15:00","19:00",4,2,0,NA,"0",48,0,20,37,49,8,22,0,57
"13",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Tuesday","7/13/2004",78,NA,"16:00","17:00",1,0,0,NA,"No",0,5,3,2,NA,NA,5,NA,5
"14",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Wednesday","9/1/2004",75,"Sunny","8:30","9:30",1,4,0,NA,"No",3,NA,0,3,3,0,3,NA,3
"15",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Thursday","8/25/2005",73,"Sunny","8:30","9:30",1,0,0,NA,"No",0,2,0,2,2,0,2,NA,2
"16",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Friday","10/20/2006",72,"Sunny","16:30","18:30",2,0,NA,NA,"0",0,16,15,1,13,3,12,NA,16
"17",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Tuesday","10/24/2006",43,"Chilly, Windy","8:30","9:45",1.25,0,0,NA,"No",0,0,0,0,0,0,0,NA,0
"18",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Tuesday","5/6/2008",0,"Clear","6:00","10:00",4,0,NA,NA,"0",0,1,0,1,1,0,1,NA,1
"19",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Tuesday","5/6/2008",0,"Clear","15:00","19:00",4,0,NA,NA,"No",0,2,1,1,2,0,1,NA,2
"20",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Thursday","5/21/2009",0,"Clear","15:00","19:00",4,0,NA,NA,"No",0,1,0,1,1,0,1,NA,1
"21",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Thursday","5/21/2009",0,"Clear","6:00","10:00",4,0,NA,NA,"No",0,1,0,1,1,0,1,NA,1
"22",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Thursday","6/14/2012",0,NA,"15:00","19:00",4,0,NA,NA,"No",0,0,0,26,17,9,12,0,26
"23",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Thursday","6/14/2012",0,NA,"6:00","10:00",4,0,NA,NA,"No",0,0,1,4,5,0,3,NA,5
"24",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Tuesday","7/8/2014",NA,NA,"15:00","19:00",4,2,0,0,"No",3,11,1,10,11,0,5,NA,11
"25",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Tuesday","7/8/2014",NA,NA,"6:00","10:00",4,2,0,0,"No",0,4,0,4,4,0,4,NA,4
"26",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Tuesday","7/7/2015",0,NA,"6:00","10:00",4,0,0,NA,"0",0,0,1,1,1,1,1,0,2
"27",10000005,27,"Marvin Gaye Trail","NE","42nd St","44th St","Thursday","7/7/2015",0,NA,"15:00","19:00",4,0,0,NA,"0",0,0,1,2,3,0,3,0,3
"28",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","6/14/2005",77,"Sunny & Humid","8:15","9:15",1,2,2,25,"Yes",1,NA,12,2,11,3,14,NA,14
"29",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Monday","8/22/2005",70,"Sunny","8:00","9:00",1,2,2,25,"Yes",1,NA,6,2,5,3,8,NA,8
"30",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Friday","9/8/2006",68,"Warm","7:30","10:00",1.5,2,2,25,"Yes",0,0,11,0,8,3,8,NA,11
"31",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Monday","10/23/2006",50,"Cloudy, Windy","16:00","17:15",1.25,2,2,25,"Yes",0,0,1,0,1,0,1,NA,1
"32",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Monday","5/14/2007",60,"Mostly Sunny","7:30","8:30",1,2,2,25,"Yes",0,0,10,2,10,2,12,NA,12
"33",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","5/13/2008",0,"Clear","6:00","10:00",4,2,2,25,"Yes",4,0,35,7,32,10,21,NA,42
"34",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","5/13/2008",0,"Clear","15:00","19:00",4,2,2,25,"Yes",5,0,18,15,29,4,14,NA,33
"35",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","5/28/2009",0,"Clear","15:00","19:00",4,2,NA,25,"No",0,0,7,1,3,5,6,NA,8
"36",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","5/28/2009",0,"Clear","6:00","10:00",4,2,NA,25,"Yes",0,0,24,2,20,6,9,NA,26
"37",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Thursday","6/9/2011",0,NA,"15:00","19:00",4,2,2,25,"Yes",3,0,26,7,26,7,20,NA,33
"38",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Thursday","6/9/2011",0,NA,"6:00","10:00",4,2,2,25,"Yes",0,0,51,4,38,17,26,NA,55
"39",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","6/26/2012",0,NA,"6:00","10:00",4,2,2,25,"Yes",4,0,78,12,71,19,37,NA,90
"40",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","6/26/2012",0,NA,"15:00","19:00",4,2,2,25,"Yes",2,0,64,20,59,25,42,NA,84
"41",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Wednesday","7/9/2014",NA,NA,"15:00","19:00",4,2,2,25,"Yes",5,0,61,16,65,12,44,NA,77
"42",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Wednesday","7/9/2014",NA,NA,"6:00","10:00",4,2,2,25,"Yes",6,0,81,13,76,18,48,NA,94
"43",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","7/7/2015",0,NA,"6:00","10:00",4,1,1,25,"Yes",2,0,116,16,97,35,52,0,132
"44",10030630,1,"3rd St","NW","North Dakota Ave, Sheridan St","Tuckerman St","Tuesday","7/7/2015",0,NA,"15:00","19:00",4,1,1,25,"Yes",8,0,87,38,95,30,52,0,125
"45",10040070,NA,"4th St","NW","G St","H St","Wednesday","2/20/2002",45,"Cloudy","7:58","8:58",1,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,7,NA,7
"46",10040070,NA,"4th St","NW","G St","H St","Wednesday","8/30/2006",77,"Overcast","16:30","18:45",2.25,1,2,25,"No",2,0,1,8,9,0,6,NA,9
"47",10040070,NA,"4th St","NW","G St","H St","Wednesday","9/20/2006",65,"Clear Skies","8:15","10:00",1.75,1,2,25,"No",1,0,3,7,10,0,7,NA,10
"48",10040070,NA,"4th St","NW","G St","H St","Monday","6/18/2007",65,"Cloudy","17:00","19:00",2,2,2,25,"No",0,0,8,4,10,2,9,NA,12
"49",10060050,50,"6th St","NW","E St","F St","Tuesday","6/28/2005",77,"Mostly Sunny & Humid","8:30","9:30",1,5,1,25,"No",1,NA,6,3,8,1,9,NA,9
"50",10060050,50,"6th St","NW","E St","F St","Thursday","9/8/2005",70,"Sunny","8:30","9:30",1,5,1,25,"No",2,NA,10,4,11,3,14,NA,14
"51",10060050,50,"6th St","NW","E St","F St","Thursday","10/5/2006",69,"Cloudy, Slightly Overcast","17:30","19:00",1.5,6,2,25,"No",2,0,10,12,13,9,19,NA,22
"52",10060050,50,"6th St","NW","E St","F St","Wednesday","10/25/2006",50,"Chilly","8:30","10:00",1.5,4,2,25,"No",0,0,6,2,7,1,6,NA,8
"53",10060050,50,"6th St","NW","E St","F St","Thursday","5/17/2007",60,"Overcast","16:00","17:15",1.25,2,1,25,"No",1,0,7,4,10,1,10,NA,11
"54",10060050,50,"6th St","NW","E St","F St","Thursday","5/17/2007",58,"Windy","8:30","9:30",1,2,2,25,"No",2,0,13,2,10,5,15,NA,15
"55",10060050,50,"6th St","NW","E St","F St","Wednesday","7/30/2014",NA,NA,"6:00","10:00",4,4,2,25,"No",13,0,60,28,70,18,42,11,88
"56",10060050,50,"6th St","NW","E St","F St","Wednesday","7/30/2014",NA,NA,"15:00","19:00",4,4,2,25,"No",7,0,56,39,76,19,33,10,95
"57",10060050,50,"6th St","NW","E St","F St","Tuesday","7/28/2015",0,NA,"15:00","19:00",4,0,NA,25,"0",18,0,58,50,88,20,35,10,108
"58",10060050,50,"6th St","NW","E St","F St","Tuesday","7/28/2015",0,NA,"6:00","10:00",4,0,NA,25,"0",14,0,48,40,63,25,40,11,88
"59",10110230,2,"11th St","NW","Florida Ave","Clifton St","Thursday","2/17/2005",38,"Partly Cloudy","8:15","9:15",1,2,2,25,"No",2,NA,16,10,23,3,26,NA,26
